GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,AST_DAY_RANK
3/28/2019,BKN,Brooklyn Nets,BKN @ PHI,D'Angelo Russell,G,25.8,8329,1,7056,8,789,0,7843,6,4636,0,13385,4,9339,1,4317,7,51,7
3/28/2019,HOU,Houston Rockets,HOU vs. DEN,Chris Paul,G,25.8,8329,0,12874,8,789,0,7843,3,11548,3,4174,4,9339,1,4317,3,1827,8
3/28/2019,PHI,Philadelphia 76ers,PHI vs. BKN,Ben Simmons,G,32.8,4968,0,12874,8,789,0,7843,7,3260,2,6102,4,9339,1,4317,3,1827,9
3/28/2019,DAL,Dallas Mavericks,DAL @ MIA,Luka Doncic,F-G,33.1,4834,3,1597,7,1184,0,7843,6,4636,4,2601,8,2894,0,11467,6,130,10
3/27/2019,UTA,Utah Jazz,UTA vs. LAL,Joe Ingles,F,40.8,2462,3,1597,14,43,0,7843,4,8828,0,13385,9,2204,0,11467,2,4097,1
3/27/2019,OKC,Oklahoma City Thunder,OKC vs. IND,Russell Westbrook,G,55.2,562,2,3543,12,111,1,2443,6,4636,3,4174,11,1140,2,1393,2,4097,2
3/27/2019,POR,Portland Trail Blazers,POR @ CHI,Evan Turner,G,15.4,14944,0,12874,8,789,0,7843,1,18112,0,13385,2,15352,0,11467,1,8514,3
3/27/2019,MEM,Memphis Grizzlies,MEM vs. GSW,Mike Conley,G,34.2,4437,2,3543,8,789,0,7843,6,4636,8,447,1,18809,0,11467,1,8514,4
3/27/2019,UTA,Utah Jazz,UTA vs. LAL,Ricky Rubio,G,28,7160,0,12874,8,789,0,7843,3,11548,4,2601,5,7038,0,11467,0,15731,5
3/27/2019,PHX,Phoenix Suns,PHX vs. WAS,Jamal Crawford,G,29.1,6612,2,3543,7,1184,1,2443,4,8828,2,6102,3,12137,0,11467,0,15731,6
3/27/2019,POR,Portland Trail Blazers,POR @ CHI,Damian Lillard,G,27.7,7305,1,7056,7,1184,0,7843,3,11548,4,2601,6,5192,0,11467,1,8514,7
3/27/2019,GSW,Golden State Warriors,GSW @ MEM,Stephen Curry,G,55.5,544,6,113,7,1184,1,2443,7,3260,8,447,10,1582,1,4317,1,8514,8
3/27/2019,GSW,Golden State Warriors,GSW @ MEM,DeMarcus Cousins,C,50.8,910,1,7056,6,1803,3,272,7,3260,1,10110,9,2204,3,415,3,1827,9
3/27/2019,GSW,Golden State Warriors,GSW @ MEM,Draymond Green,F,31.4,5566,1,7056,6,1803,2,812,2,14769,1,10110,7,3913,2,1393,4,786,10
3/26/2019,LAL,Los Angeles Lakers,LAL vs. WAS,LeBron James,F,52.4,762,1,7056,14,43,0,7843,11,549,0,13385,7,3913,1,4317,3,1827,1
3/26/2019,DAL,Dallas Mavericks,DAL vs. SAC,Luka Doncic,F-G,56.4,485,0,12874,12,111,0,7843,9,1419,10,204,12,814,0,11467,4,786,2
