GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,STL_DAY_RANK
3/19/2019,HOU,Houston Rockets,HOU @ ATL,Chris Paul,G,38.7,2981,2,3543,11,183,0,7843,4,8828,3,4174,1,18809,3,415,1,8514,8
3/19/2019,MIN,Minnesota Timberwolves,MIN vs. GSW,Josh Okogie,G,34.3,4399,3,1597,1,12618,0,7843,6,4636,4,2601,4,9339,3,415,0,15731,9
3/19/2019,MIL,Milwaukee Bucks,MIL vs. LAL,Brook Lopez,C,60.3,312,5,280,3,5849,4,98,8,2174,7,723,9,2204,3,415,4,786,10
3/18/2019,UTA,Utah Jazz,UTA @ WAS,Ricky Rubio,G,31.4,5566,0,12874,10,325,0,7843,4,8828,0,13385,2,15352,4,121,6,130,1
3/18/2019,BOS,Boston Celtics,BOS vs. DEN,Kyrie Irving,G,56,510,2,3543,4,3929,1,2443,10,888,8,447,5,7038,4,121,1,8514,2
3/18/2019,CHI,Chicago Bulls,CHI @ PHX,Shaquille Harrison,G,22.1,10543,0,12874,1,12618,0,7843,3,11548,0,13385,3,12137,4,121,1,8514,3
3/18/2019,WAS,Washington Wizards,WAS vs. UTA,Jabari Parker,F,35.9,3812,1,7056,1,12618,1,2443,8,2174,2,6102,7,3913,3,415,5,338,4
3/18/2019,IND,Indiana Pacers,IND @ POR,Cory Joseph,G,21.3,11046,0,12874,5,2659,0,7843,0,21502,0,13385,4,9339,3,415,0,15731,5
3/18/2019,GSW,Golden State Warriors,GSW @ SAS,Stephen Curry,G,55.4,556,6,113,8,789,1,2443,9,1419,1,10110,7,3913,3,415,2,4097,6
3/18/2019,NOP,New Orleans Pelicans,NOP @ DAL,Kenrich Williams,G,34.7,4240,2,3543,3,5849,0,7843,3,11548,0,13385,11,1140,3,415,0,15731,7
3/18/2019,IND,Indiana Pacers,IND @ POR,Bojan Bogdanovic,F,28.4,6972,0,12874,2,8551,0,7843,6,4636,3,4174,2,15352,3,415,1,8514,8
3/18/2019,MIA,Miami Heat,MIA @ OKC,James Johnson,F,35.6,3908,0,12874,2,8551,2,812,5,6509,4,2601,3,12137,3,415,0,15731,9
3/18/2019,POR,Portland Trail Blazers,POR vs. IND,Damian Lillard,G,60.9,291,4,662,15,25,1,2443,9,1419,8,447,2,15352,3,415,6,130,10
3/17/2019,LAL,Los Angeles Lakers,LAL @ NYK,Alex Caruso,G,42.6,2089,1,7056,2,8551,3,272,3,11548,5,1672,3,12137,5,25,0,15731,1
3/17/2019,HOU,Houston Rockets,HOU vs. MIN,Gerald Green,G,20.4,11636,2,3543,0,18130,0,7843,3,11548,1,10110,2,15352,3,415,0,15731,2
